"","x"
"533","8"
"534","0"
"535","3"
"536","0"
"537","0"
"538","0"
"539","3"
"540","10"
"541","3"
"542","4"
"543","7"
"544","8"
"545","6"
"546","13"
"547","0"
"548","1"
"549","10"
"550","0"
"551","2"
"552","6"
"553","0"
"554","4"
"555","13"
"556","8"
"557","2"
"558","2"
"559","2"
"560","11"
"561","4"
"562","7"
"563","2"
"564","4"
"565","0"
"566","3"
"567","0"
"568","8"
"569","5"
"570","2"
"571","8"
"572","4"
"573","3"
"574","6"
"575","3"
"576","10"
"577","0"
"578","6"
"579","0"
"580","13"
"581","10"
"582","1"
"583","11"
"584","0"
"585","9"
"586","15"
"587","3"
"588","0"
"589","3"
"590","6"
"591","0"
"592","5"
"593","0"
"594","5"
"595","0"
"596","7"
"597","3"
"598","4"
"599","0"
"600","0"
"601","0"
"602","5"
"603","12"
"604","11"
"605","0"
"606","4"
"607","13"
"608","8"
"609","4"
"610","11"
"611","9"
"612","8"
"613","0"
"614","14"
"615","2"
"616","8"
"617","0"
"618","11"
"619","12"
"620","0"
"621","0"
"622","4"
"623","0"
"624","0"
"625","3"
"626","0"
"627","0"
"628","0"
"629","12"
"630","11"
"631","9"
"632","0"
"633","0"
"634","11"
"635","8"
"636","4"
"637","0"
"638","4"
"639","5"
"640","0"
"641","3"
"642","8"
"643","3"
"644","0"
"645","3"
"646","10"
"647","0"
"648","6"
"649","0"
"650","0"
"651","9"
"652","3"
"653","4"
"654","10"
"655","7"
"656","3"
"657","9"
"658","4"
"659","6"
"660","0"
"661","0"
"662","0"
"663","0"
"664","4"
"665","3"
"666","13"
"667","3"
"668","10"
"669","11"
"670","0"
"671","11"
"672","2"
"673","0"
"674","3"
"675","8"
"676","9"
"677","11"
"678","0"
"679","10"
"680","4"
"681","6"
"682","0"
"683","2"
"684","4"
"685","7"
"686","8"
"687","6"
"688","8"
"689","4"
"690","0"
"691","11"
"692","0"
"693","8"
"694","0"
"695","0"
"696","15"
"697","4"
"698","5"
"699","3"
"700","0"
"701","7"
"702","14"
"703","0"
"704","0"
"705","4"
"706","3"
"707","3"
"708","2"
"709","3"
"710","6"
"711","0"
"712","0"
"713","3"
"714","0"
"715","0"
"716","0"
"717","0"
"718","0"
"719","12"
"720","0"
"721","0"
"722","8"
"723","2"
"724","14"
"725","0"
"726","10"
"727","3"
"728","5"
"729","3"
"730","12"
"731","6"
"732","10"
"733","0"
"734","5"
"735","0"
"736","0"
"737","10"
"738","0"
"739","2"
"740","0"
"741","0"
"742","4"
"743","5"
"744","0"
"745","1"
"746","0"
"747","10"
"748","9"
"749","2"
"750","3"
"751","7"
"752","10"
"753","0"
"754","12"
"755","0"
"756","0"
"757","4"
"758","3"
"759","4"
"760","3"
"761","0"
"762","0"
"763","8"
"764","4"
"765","0"
"766","15"
"767","0"
"768","0"
"769","3"
"770","9"
"771","2"
"772","4"
"773","10"
"774","0"
"775","0"
"776","5"
"777","3"
"778","0"
"779","3"
"780","0"
"781","13"
"782","10"
"783","0"
"784","2"
"785","6"
"786","8"
"787","4"
"788","8"
"789","3"
"790","1"
"791","3"
"792","3"
"793","0"
"794","2"
"795","9"
"796","3"
"797","3"
"798","6"
"799","0"
"800","1"
"801","0"
"802","7"
"803","14"
"804","0"
"805","15"
"806","2"
"807","4"
"808","0"
"809","0"
"810","2"
"811","4"
"812","9"
"813","1"
"814","4"
"815","5"
"816","0"
"817","0"
"818","15"
"819","2"
"820","10"
"821","1"
"822","7"
"823","4"
"824","0"
"825","0"
"826","2"
"827","5"
"828","13"
"829","5"
"830","2"
"831","14"
"832","0"
"833","7"
"834","4"
"835","4"
"836","8"
"837","0"
"838","5"
"839","0"
"840","3"
"841","0"
"842","0"
"843","3"
"844","3"
"845","2"
"846","2"
"847","10"
"848","0"
"849","8"
"850","4"
"851","9"
"852","14"
"853","11"
"854","0"
"855","15"
"856","0"
"857","8"
"858","5"
"859","6"
"860","3"
"861","0"
"862","5"
"863","4"
"864","0"
"865","2"
"866","4"
"867","0"
"868","3"
"869","11"
"870","0"
"871","3"
"872","4"
"873","0"
"874","11"
"875","5"
"876","0"
"877","1"
"878","0"
"879","0"
"880","0"
"881","5"
"882","8"
"883","1"
"884","4"
"885","2"
"886","0"
"887","10"
"888","4"
"889","2"
"890","3"
"891","2"
"892","10"
"893","14"
"894","4"
"895","9"
"896","0"
"897","5"
"898","11"
"899","0"
"900","0"
"901","3"
"902","1"
"903","4"
"904","0"
"905","0"
"906","2"
"907","5"
"908","3"
"909","3"
"910","0"
"911","8"
"912","1"
"913","0"
"914","0"
"915","3"
"916","3"
"917","2"
"918","0"
"919","0"
"920","2"
"921","0"
"922","7"
"923","8"
"924","11"
"925","0"
"926","6"
"927","5"
"928","0"
"929","0"
"930","0"
"931","2"
"932","0"
"933","4"
"934","4"
"935","0"
"936","7"
"937","3"
"938","10"
"939","6"
"940","10"
"941","11"
"942","3"
"943","0"
"944","1"
"945","11"
"946","0"
"947","3"
"948","0"
"949","2"
"950","9"
"951","3"
"952","10"
"953","0"
"954","4"
"955","7"
"956","0"
"957","2"
"958","6"
"959","4"
"960","7"
"961","3"
"962","2"
"963","0"
"964","0"
"965","14"
"966","2"
"967","4"
"968","10"
"969","1"
"970","13"
"971","10"
"972","5"
"973","0"
"974","11"
"975","0"
"976","11"
"977","0"
"978","3"
"979","0"
"980","7"
"981","0"
"982","13"
"983","0"
"984","14"
"985","7"
"986","3"
"987","0"
"988","0"
"989","0"
"990","0"
"991","0"
"992","7"
"993","3"
"994","2"
"995","12"
"996","10"
"997","15"
"998","4"
"999","0"
"1000","10"
"1001","0"
"1002","0"
"1003","2"
"1004","8"
"1005","5"
"1006","14"
"1007","0"
"1008","9"
"1009","5"
"1010","0"
"1011","11"
"1012","0"
"1013","5"
"1014","0"
"1015","0"
"1016","3"
"1017","0"
"1018","2"
"1019","15"
"1020","12"
"1021","0"
"1022","3"
"1023","7"
"1024","9"
"1025","0"
"1026","10"
"1027","0"
"1028","0"
"1029","0"
"1030","10"
"1031","0"
"1032","0"
"1033","3"
"1034","0"
"1035","0"
"1036","0"
"1037","4"
"1038","12"
